.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif,y.position,groups,xmin,xmax
auc,ADASYN_both,ADASYN_over,50,50,1230,0.893,0.986,ns,0.8618,ADASYN_both|ADASYN_over,1,2
auc,ADASYN_both,DEFAULT,50,50,2225.5,1.8e-11,1.34e-10,****,0.870157142857143,ADASYN_both|DEFAULT,1,3
auc,ADASYN_both,SMOTE_both,50,50,1233,0.909,0.986,ns,0.878514285714286,ADASYN_both|SMOTE_both,1,4
auc,ADASYN_both,SMOTE_over,50,50,1237.5,0.934,0.986,ns,0.886871428571429,ADASYN_both|SMOTE_over,1,5
auc,ADASYN_both,TADA,50,50,1229,0.888,0.986,ns,0.895228571428571,ADASYN_both|TADA,1,6
auc,ADASYN_over,DEFAULT,50,50,2199,6.2e-11,1.86e-10,****,0.903585714285714,ADASYN_over|DEFAULT,2,3
auc,ADASYN_over,SMOTE_both,50,50,1247,0.986,0.986,ns,0.911942857142857,ADASYN_over|SMOTE_both,2,4
auc,ADASYN_over,SMOTE_over,50,50,1253.5,0.983,0.986,ns,0.9203,ADASYN_over|SMOTE_over,2,5
auc,ADASYN_over,TADA,50,50,1257,0.964,0.986,ns,0.928657142857143,ADASYN_over|TADA,2,6
auc,DEFAULT,SMOTE_both,50,50,283,2.69e-11,1.34e-10,****,0.937014285714286,DEFAULT|SMOTE_both,3,4
auc,DEFAULT,SMOTE_over,50,50,262,9.92e-12,1.34e-10,****,0.945371428571429,DEFAULT|SMOTE_over,3,5
auc,DEFAULT,TADA,50,50,291,3.9e-11,1.46e-10,****,0.953728571428571,DEFAULT|TADA,3,6
auc,SMOTE_both,SMOTE_over,50,50,1262,0.937,0.986,ns,0.962085714285714,SMOTE_both|SMOTE_over,4,5
auc,SMOTE_both,TADA,50,50,1269,0.899,0.986,ns,0.970442857142857,SMOTE_both|TADA,4,6
auc,SMOTE_over,TADA,50,50,1268,0.904,0.986,ns,0.9788,SMOTE_over|TADA,5,6
